Date,Country,City,State,Shape,Summary,lat,lon
16-11-26-21-45,USA,Allen Park,MI,Light,REDACTED,42.2575385,-83.2110374
16-11-26-19-35,USA,Naugatuck,CT,Light,REDACTED,41.4860186,-73.0509431
16-11-26-19-27,USA,Venice,FL,Light,REDACTED,27.0998708,-82.4544131
16-11-26-19-00,USA,Fairview,OR,Triangle,REDACTED,45.5469302,-122.4370392
16-11-26-18-30,USA,McDonough,GA,Light,REDACTED,33.4473361,-84.1468615
16-11-26-18-00,USA,Spearfish,SD,Disk,REDACTED,44.490817,-103.8593699
16-11-26-18-00,USA,Shallotte,NC,Changing,REDACTED,33.9732275,-78.385837
16-11-26-17-30,USA,Brooklyn,NY,Triangle,REDACTED,40.64530975,-73.9550229
16-11-26-16-56,USA,McChord AFB,WA,Fireball,REDACTED,47.1377,-122.4764999
16-11-26-15-00,USA,Vacaville,CA,Sphere,REDACTED,38.3565773,-121.9877443
16-11-26-04-00,USA,West New York,NJ,Light,REDACTED,40.785529,-74.0083002
16-11-25-22-00,USA,Olathe,KS,Chevron,REDACTED,38.8843867,-94.8161126
16-11-25-20-47,USA,Tyrone,GA,Light,REDACTED,33.6723506,-82.8612562
16-11-25-20-00,USA,Vero Beach,FL,Sphere,REDACTED,27.6387163,-80.3975398
16-11-25-19-00,USA,Bedford,IN,Sphere,REDACTED,38.8611619,-86.4872148
16-11-25-19-00,USA,Nevada,NV,Light,REDACTED,39.5158825,-116.8537226
16-11-25-18-30,USA,Brandon,FL,Fireball,REDACTED,27.928464,-82.2880445
16-11-25-18-30,USA,Port Orange,FL,Unknown,REDACTED,29.10150985,-81.0105537
16-11-25-17-30,USA,Torrance,CA,Light,REDACTED,33.8358492,-118.3406287
16-11-25-11-00,USA,Longmont,CO,Circle,REDACTED,40.1672117,-105.1019286
16-11-25-07-48,USA,Corpus Christi,TX,Unknown,REDACTED,27.8002542,-97.3955743
16-11-25-01-30,USA,Warner Robins,GA,Light,REDACTED,32.598313,-83.6256769
16-11-25-01-11,USA,Newcastle,WA,Flash,REDACTED,47.5395736,-122.156333
16-11-24-23-00,USA,Graham,NC,Circle,REDACTED,36.069026,-79.4005759
16-11-24-21-45,USA,Annapolis,MD,Light,REDACTED,38.9786401,-76.4927859
16-11-24-20-30,USA,Balko,OK,Light,REDACTED,36.6600752,-100.679207
16-11-24-19-30,USA,Largo,FL,Unknown,REDACTED,27.9094665,-82.7873243
16-11-24-19-12,USA,Woodbridge,NJ,Light,REDACTED,40.55418,-74.2860007
16-11-24-19-12,USA,Woodbridge,NJ,Oval,REDACTED,40.55418,-74.2860007
16-11-24-18-30,USA,Oldsmar,FL,Sphere,REDACTED,28.06906015,-82.6501914
16-11-24-18-00,USA,Zebulon,NC,Disk,REDACTED,35.824321,-78.3147199
16-11-24-17-45,USA,Monrovia,MD,Light,REDACTED,39.3720477,-77.2719278
16-11-24-03-00,USA,Grand Junction,CO,Disk,REDACTED,39.063956,-108.5507316
16-11-24-02-00,USA,Colorado Springs,CO,Light,REDACTED,38.8339578,-104.8253484
16-11-24-00-05,USA,D'iberville,MS,Light,REDACTED,30.4263092,-88.8908637
16-11-23-23-00,USA,Tinton Falls,NJ,Light,REDACTED,40.3159438,-74.0851403
16-11-23-22-30,USA,Beaverton,OR,Disk,REDACTED,45.4871723,-122.8037803
16-11-23-21-15,USA,Central Square,NY,Light,REDACTED,43.286736,-76.1460359
16-11-23-19-20,USA,Carlsbad,CA,Unknown,REDACTED,33.1580933,-117.3505938
16-11-23-01-43,USA,Poteau,OK,Sphere,REDACTED,35.0537094,-94.6235578
16-11-22-21-30,USA,Mesa,AZ,Light,REDACTED,33.436188,-111.5860661
16-11-22-21-30,CANADA,Oshawa,ON,Sphere,REDACTED,43.9172764,-78.8614873
16-11-22-21-10,USA,Largo,FL,Chevron,REDACTED,27.9094665,-82.7873243
16-11-22-21-00,USA,Beecher,IL,Chevron,REDACTED,41.34059,-87.6214285
16-11-22-21-00,USA,Santa Clara,UT,Other,REDACTED,37.1330355,-113.6541265
16-11-22-21-00,USA,Santa Clara,UT,Other,REDACTED,37.1330355,-113.6541265
16-11-22-20-30,USA,Derby,KS,Flash,REDACTED,37.5455735,-97.268933
16-11-22-19-30,USA,Cecil,PA,Formation,REDACTED,32.3026416,-86.0085693
16-11-22-16-17,USA,Atkinson,NH,Other,REDACTED,42.8384221,-71.1470036
16-11-22-11-29,USA,Brooklyn,NY,Circle,REDACTED,40.64530975,-73.9550229
16-11-22-11-00,USA,Floral City,FL,Chevron,REDACTED,28.7211775,-82.3076844
16-11-22-07-50,USA,Jarrettsville,MD,Diamond,REDACTED,39.60455,-76.4777421
16-11-22-07-00,USA,Gainesville,GA,Other,REDACTED,34.2978794,-83.8240662
16-11-22-05-20,USA,San Diego,CA,Sphere,REDACTED,32.7174209,-117.1627713
16-11-22-04-45,USA,Scarborough,ME,Flash,REDACTED,43.59622635,-70.3300556
16-11-22-02-30,USA,Bismarck,ND,Circle,REDACTED,46.8083268,-100.7837391
16-11-21-23-35,USA,Key Colony Beach,FL,Light,REDACTED,24.7209744,-81.0186826
16-11-21-23-15,CANADA,Victoria,BC,Other,REDACTED,48.4283327,-123.3649268
16-11-21-18-25,USA,Riverdale,GA,Oval,REDACTED,33.5726113,-84.4132593
16-11-21-18-00,USA,Fountain Hill,AR,Light,REDACTED,33.3578937,-91.8504083
16-11-21-18-00,USA,Ventura,CA,Circle,REDACTED,34.364744,-119.3105822
16-11-21-17-00,USA,Alexandria,VA,Fireball,REDACTED,33.7237617,-116.2673236
16-11-21-07-30,USA,Pearisburg,VA,Triangle,REDACTED,37.3265112,-80.7350711
16-11-21-06-00,USA,Miramar Beach,FL,Sphere,REDACTED,30.38208845,-86.3640414
16-11-21-03-30,USA,Honolulu,HI,Other,REDACTED,21.304547,-157.8556763
16-11-21-02-00,USA,Sherman Oaks,CA,Unknown,REDACTED,34.1508718,-118.4489864
16-11-21-00-05,USA,Burbank,CA,Oval,REDACTED,34.1816482,-118.3258553
16-11-20-00-00,USA,McKinney,TX,Light,REDACTED,33.1976496,-96.615447
16-11-20-23-30,USA,Boise,ID,Unknown,REDACTED,43.61656,-116.2008349
16-11-20-22-23,USA,Springfield,IL,Light,REDACTED,39.7989763,-89.6443687
16-11-20-22-00,USA,San Jose,CA,Fireball,REDACTED,37.3361905,-121.8905832
16-11-20-21-20,USA,Charleston,TN,Formation,REDACTED,35.4959148,-89.5089637
16-11-20-11-10,USA,Lincoln,NE,Oval,REDACTED,40.8,-96.6678209
16-11-20-09-30,USA,Franklin,WI,Light,REDACTED,44.2127373,-91.123762
16-11-20-07-10,USA,Pamplin,VA,Changing,REDACTED,37.2634817,-78.6825049
16-11-19-22-00,USA,Apollo Beach,FL,Light,REDACTED,27.7729445,-82.3981418
16-11-19-21-30,USA,Salt Lake City,UT,Circle,REDACTED,40.7670126,-111.8904307
16-11-19-21-00,USA,Myrtle Beach,SC,Circle,REDACTED,33.6956461,-78.8900408
16-11-19-20-40,USA,Oregon City,OR,Light,REDACTED,45.3573429,-122.6067582
16-11-19-20-00,USA,San Marcos,CA,Circle,REDACTED,33.1433723,-117.1661448
16-11-19-19-15,USA,Jefferson City,MO,Chevron,REDACTED,38.577359,-92.1724264
16-11-19-19-00,CANADA,Victoria,BC,Oval,REDACTED,48.4283327,-123.3649268
16-11-19-19-00,USA,Boynton Beach,FL,Circle,REDACTED,26.5253491,-80.0664308
16-11-19-18-30,USA,Brandon,FL,Triangle,REDACTED,27.928464,-82.2880445
16-11-19-18-30,USA,Zephyrhills,FL,Fireball,REDACTED,28.2336196,-82.1811946
16-11-19-18-22,USA,Bristol,CT,Light,REDACTED,37.9317492,-122.0327847
16-11-19-18-15,USA,Woodbridge,VA,Formation,REDACTED,38.658172,-77.2497049
16-11-19-18-00,USA,Fishers,IN,Light,REDACTED,39.9555928,-86.0138728
16-11-19-17-30,USA,Louisville,KY,Other,REDACTED,38.2542376,-85.7594069
